iter	RMSE
0	14.83577302
1	14.44722952
2	14.06332416
3	13.6826964
4	13.32845011
5	13.01671837
6	12.70771044
7	12.42356328
8	12.14246625
9	11.83342304
10	11.53742625
11	11.2931737
12	11.04135651
13	10.80001988
14	10.55448992
15	10.31441413
16	10.10261134
17	9.895964028
18	9.684029056
19	9.485732262
20	9.329093043
21	9.133542083
22	8.964027488
23	8.796355612
24	8.640828067
25	8.486729777
26	8.337240535
27	8.200800683
28	8.067749383
29	7.946142905
30	7.831450078
31	7.706022396
32	7.595020362
33	7.488475501
34	7.383701511
35	7.290480521
36	7.198500703
37	7.11396033
38	7.030184775
39	6.947717499
40	6.876462195
41	6.819831868
42	6.748858977
43	6.684921665
44	6.619735475
45	6.563913777
46	6.506032164
47	6.449859563
48	6.391303116
49	6.331502612
50	6.288473554
51	6.233995721
52	6.184539553
53	6.140088102
54	6.096669834
55	6.054871836
56	6.018465225
57	5.981686356
58	5.951623849
59	5.919855679
60	5.884199205
61	5.849626624
62	5.819301613
63	5.790300078
64	5.761969062
65	5.734906446
66	5.712024068
67	5.684315548
68	5.664431074
69	5.638475999
70	5.614801491
71	5.594612155
72	5.572471459
73	5.550337799
74	5.530717948
75	5.509825679
76	5.493141716
77	5.474297839
78	5.452799077
79	5.433309575
80	5.417186878
81	5.400661951
82	5.394310469
83	5.378606114
84	5.365875731
85	5.351338703
86	5.335053541
87	5.325764298
88	5.314706246
89	5.303933976
90	5.290224179
91	5.28193242
92	5.270950315
93	5.261865974
94	5.253190917
95	5.242292199
96	5.232587918
97	5.224747062
98	5.216926207
99	5.207540236
100	5.199996322
101	5.188889636
102	5.182315128
103	5.171848334
104	5.164605754
105	5.15757638
106	5.149470943
107	5.141985398
108	5.134655625
109	5.128537468
110	5.121704762
111	5.115348843
112	5.110056091
113	5.103402821
114	5.098320581
115	5.090518115
116	5.0895605
117	5.077431875
118	5.070490216
119	5.061898102
120	5.056556514
121	5.051474105
122	5.041885614
123	5.033398016
124	5.02760987
125	5.021418956
126	5.01432467
127	5.007530741
128	4.999722312
129	4.99541071
130	4.989964435
131	4.985424571
132	4.98161722
133	4.976682859
134	4.971944711
135	4.966737822
136	4.962179938
137	4.959554479
138	4.955726575
139	4.952084866
140	4.947064628
141	4.943274716
142	4.94261566
143	4.942112241
144	4.936006106
145	4.929439532
146	4.926109312
147	4.92261485
148	4.920080203
149	4.915336693
150	4.910168973
151	4.904984765
152	4.899637804
153	4.896419083
154	4.887447036
155	4.882996213
156	4.879495361
157	4.873024469
158	4.867422446
159	4.864636219
160	4.859636842
161	4.853042241
162	4.849812768
163	4.846944098
164	4.842734019
165	4.837364247
166	4.834310696
167	4.831080593
168	4.828319965
169	4.822167943
170	4.818885364
171	4.816089103
172	4.810951828
173	4.807642613
174	4.80403115
175	4.800499094
176	4.797803841
177	4.79549532
178	4.790768678
179	4.787477756
180	4.783598069
181	4.781628405
182	4.777149412
183	4.775236828
184	4.771869933
185	4.766444416
186	4.764816349
187	4.758657423
188	4.755722673
189	4.751431814
190	4.746671512
191	4.743850119
192	4.741736122
193	4.739619532
194	4.736736722
195	4.735472391
196	4.730891032
197	4.726552988
198	4.724547024
199	4.7205846
200	4.715163526
201	4.710127086
202	4.709511774
203	4.705325813
204	4.702252675
205	4.697251372
206	4.695054436
207	4.692388774
208	4.690664497
209	4.686848292
210	4.683445617
211	4.680948227
212	4.676581318
213	4.675355265
214	4.673163814
215	4.669374472
216	4.667048573
217	4.664650219
218	4.663001693
219	4.657572628
220	4.651927157
221	4.647688845
222	4.646525016
223	4.641404684
224	4.640469687
225	4.638509707
226	4.63582824
227	4.633158783
228	4.630444668
229	4.626329601
230	4.62244877
231	4.621456938
232	4.620134624
233	4.616277525
234	4.613479704
235	4.612483308
236	4.609414384
237	4.602424183
238	4.598304376
239	4.59551493
240	4.589819206
241	4.58711896
242	4.585693871
243	4.58436055
244	4.581612281
245	4.581226549
246	4.578680982
247	4.576713694
248	4.573299623
249	4.569608635
250	4.560964212
251	4.558806616
252	4.556383218
253	4.553721911
254	4.551811276
255	4.548949412
256	4.547250948
257	4.54507956
258	4.543146662
259	4.539412936
260	4.537157991
261	4.533826647
262	4.529943023
263	4.528032735
264	4.525867258
265	4.523647546
266	4.521601146
267	4.518568285
268	4.514082719
269	4.509590472
270	4.506002499
271	4.503727924
272	4.502979387
273	4.499261912
274	4.496837317
275	4.493088841
276	4.489602689
277	4.487038286
278	4.48339953
279	4.477766305
280	4.473539641
281	4.472086176
282	4.471180558
283	4.467003859
284	4.463048216
285	4.460612366
286	4.459210182
287	4.451961655
288	4.448179081
289	4.444305304
290	4.440187781
291	4.438149233
292	4.436104966
293	4.434376157
294	4.429689165
295	4.426852879
296	4.425107676
297	4.421710778
298	4.419923018
299	4.413842475
300	4.412002314
301	4.407007515
302	4.403685049
303	4.400608792
304	4.398268109
305	4.394941028
306	4.393504612
307	4.391675648
308	4.390747435
309	4.388733047
310	4.384442603
311	4.378483298
312	4.373647275
313	4.368825584
314	4.368365517
315	4.365809416
316	4.359531942
317	4.35869033
318	4.355125651
319	4.352411362
320	4.350228733
321	4.347023165
322	4.342806711
323	4.339196455
324	4.333249197
325	4.328890889
326	4.326569979
327	4.321523293
328	4.317806044
329	4.314486885
330	4.3122974
331	4.30939303
332	4.304810911
333	4.301613171
334	4.296210043
335	4.293102179
336	4.291903527
337	4.289928062
338	4.285317941
339	4.28500535
340	4.282218335
341	4.280884366
342	4.274379513
343	4.270799625
344	4.266144709
345	4.262358873
346	4.257334784
347	4.253588881
348	4.251901541
349	4.247544857
350	4.24541702
351	4.242643377
352	4.23785307
353	4.231708382
354	4.229086144
355	4.227249802
356	4.222293103
357	4.22096072
358	4.22006888
359	4.214959011
360	4.212899726
361	4.20833523
362	4.204669244
363	4.20053537
364	4.196382318
365	4.192170251
366	4.189744204
367	4.18608068
368	4.181855623
369	4.17924501
370	4.174730736
371	4.173211557
372	4.171069027
373	4.166762164
374	4.162293117
375	4.156458298
376	4.152080139
377	4.150952587
378	4.145984395
379	4.141606538
380	4.13883006
381	4.134693312
382	4.130510688
383	4.129846744
384	4.128707351
385	4.125518342
386	4.122611969
387	4.119915449
388	4.118770901
389	4.116868101
390	4.112131827
391	4.108583974
392	4.106280527
393	4.103843581
394	4.101259765
395	4.098348743
396	4.095929881
397	4.09331463
398	4.08991524
399	4.088884069
400	4.087499605
401	4.085866697
402	4.082130255
403	4.078949862
404	4.076067571
405	4.071899834
406	4.067571538
407	4.063718586
408	4.060356444
409	4.058888263
410	4.055552948
411	4.050746064
412	4.048397654
413	4.047644088
414	4.043826869
415	4.041366367
416	4.038197732
417	4.035296049
418	4.034223464
419	4.030208417
420	4.02524203
421	4.023038941
422	4.020122798
423	4.017663563
424	4.012623805
425	4.011676727
426	4.00691607
427	4.000424352
428	3.99950885
429	3.999230921
430	3.995235017
431	3.992510015
432	3.992242757
433	3.991452229
434	3.989146817
435	3.985801381
436	3.985455823
437	3.985039019
438	3.978983148
439	3.978718023
440	3.97598899
441	3.97268922
442	3.969086415
443	3.968538987
444	3.967693129
445	3.963981242
446	3.961585019
447	3.956358581
448	3.954456338
449	3.951984871
450	3.950761875
451	3.947989158
452	3.946153678
453	3.945118842
454	3.940815639
455	3.938203321
456	3.93746002
457	3.937216014
458	3.935673618
459	3.934931627
460	3.92986124
461	3.926883007
462	3.922232549
463	3.916526277
464	3.913937029
465	3.910931295
466	3.910707452
467	3.91009367
468	3.907927445
469	3.904506652
470	3.90329539
471	3.902514206
472	3.901770344
473	3.900330907
474	3.897077986
475	3.895737394
476	3.892925268
477	3.88875006
478	3.887386002
479	3.883419323
480	3.882352639
481	3.880253896
482	3.876530944
483	3.875731682
484	3.875516127
485	3.873473582
486	3.868668702
487	3.865803321
488	3.865630929
489	3.860824567
490	3.856849156
491	3.855988533
492	3.850444729
493	3.847319446
494	3.846346717
495	3.842731492
496	3.839468863
497	3.83925766
498	3.838072916
499	3.837306563
500	3.833034229
501	3.829399959
502	3.828087244
503	3.827887301
504	3.8252291
505	3.824434642
506	3.822301028
507	3.81881043
508	3.815098041
509	3.814901
510	3.810608258
511	3.809494022
512	3.805415586
513	3.803642315
514	3.800083317
515	3.799907608
516	3.798475367
517	3.796423144
518	3.794699962
519	3.792558781
520	3.790155799
521	3.789528411
522	3.785073845
523	3.782046234
524	3.780151691
525	3.777929078
526	3.775099429
527	3.774309066
528	3.772310586
529	3.771301503
530	3.769787048
531	3.769049077
532	3.768731798
533	3.766126586
534	3.763915845
535	3.760497885
536	3.76027744
537	3.75590856
538	3.75574949
539	3.755023191
540	3.754332788
541	3.749326586
542	3.746987837
543	3.743643634
544	3.739339809
545	3.736061999
546	3.733618647
547	3.733071431
548	3.730519655
549	3.729522712
550	3.725779751
551	3.725670729
552	3.722069032
553	3.717770006
554	3.716142969
555	3.713729486
556	3.710457241
557	3.708894699
558	3.707515325
559	3.705919221
560	3.703911674
561	3.700138958
562	3.695435328
563	3.694550711
564	3.690331597
565	3.687784519
566	3.687329233
567	3.683531707
568	3.682468789
569	3.680144929
570	3.677950431
571	3.674639705
572	3.674278556
573	3.673862742
574	3.670651276
575	3.670125547
576	3.668687185
577	3.666629174
578	3.666474464
579	3.666321051
580	3.665297569
581	3.661210411
582	3.656902376
583	3.656148906
584	3.653667705
585	3.649925193
586	3.648859997
587	3.646488441
588	3.644904458
589	3.642513638
590	3.640935321
591	3.640783166
592	3.637528198
593	3.636251687
594	3.633935443
595	3.629968222
596	3.629579097
597	3.626519242
598	3.62634783
599	3.625371847
600	3.624788048
601	3.624555951
602	3.621384773
603	3.620483274
604	3.618456867
605	3.616616699
606	3.615833939
607	3.614085584
608	3.613634122
609	3.609700429
610	3.606758605
611	3.603878446
612	3.600111499
613	3.596551366
614	3.594357298
615	3.591456153
616	3.591010402
617	3.587662902
618	3.585655545
619	3.582983396
620	3.5809187
621	3.580183796
622	3.580034485
623	3.577988046
624	3.577638354
625	3.574002227
626	3.571507403
627	3.568900391
628	3.56650831
629	3.564684001
630	3.564414859
631	3.558999545
632	3.558462571
633	3.558415511
634	3.557373525
635	3.555919374
636	3.553260608
637	3.55213285
638	3.550779218
639	3.549669923
640	3.548560105
641	3.544921961
642	3.542872368
643	3.540920652
644	3.538648154
645	3.53678508
646	3.535005016
647	3.531414798
648	3.530225845
649	3.527567821
650	3.527040746
651	3.524214187
652	3.523850436
653	3.522709526
654	3.520963818
655	3.518820759
656	3.516346112
657	3.513735918
658	3.511611546
659	3.510790996
660	3.510046482
661	3.507503437
662	3.505378554
663	3.503608541
664	3.501651302
665	3.500083278
666	3.497183351
667	3.495690385
668	3.495568049
669	3.493157974
670	3.489103429
671	3.487277222
672	3.486352363
673	3.484019283
674	3.480778305
675	3.48046964
676	3.478975694
677	3.47468999
678	3.472835435
679	3.47239729
680	3.469085856
681	3.468585014
682	3.463741528
683	3.462991741
684	3.46090427
685	3.45986473
686	3.458322064
687	3.456489579
688	3.454545183
689	3.453146375
690	3.450747717
691	3.448704485
692	3.446044953
693	3.444977643
694	3.443780844
695	3.440615711
696	3.438145641
697	3.437510415
698	3.437117536
699	3.435124544
700	3.431746026
701	3.430641854
702	3.427506219
703	3.423677868
704	3.423332126
705	3.423053612
706	3.420603863
707	3.41960228
708	3.416325719
709	3.416192607
710	3.413027421
711	3.410549437
712	3.407664823
713	3.405714292
714	3.40267226
715	3.401877882
716	3.40123932
717	3.39857394
718	3.39760054
719	3.397457176
720	3.395982316
721	3.395163405
722	3.394855833
723	3.39236856
724	3.389424809
725	3.386185735
726	3.384503984
727	3.381307232
728	3.381275973
729	3.378987909
730	3.37745701
731	3.377101707
732	3.375875499
733	3.373183949
734	3.372215893
735	3.369319653
736	3.368727972
737	3.364511294
738	3.364300103
739	3.363743866
740	3.360789867
741	3.358800999
742	3.357
743	3.356194253
744	3.356042788
745	3.351893182
746	3.351775667
747	3.348153858
748	3.347163294
749	3.343357589
750	3.340936129
751	3.338363817
752	3.337133926
753	3.33659213
754	3.334658779
755	3.332555552
756	3.329970975
757	3.327599984
758	3.327043818
759	3.324920596
760	3.323965981
761	3.323189133
762	3.319823096
763	3.319439936
764	3.317267579
765	3.314802461
766	3.314168403
767	3.313848286
768	3.310204686
769	3.309840059
770	3.307747435
771	3.307458577
772	3.304934921
773	3.304422812
774	3.303922312
775	3.301761514
776	3.30124626
777	3.299385654
778	3.297938873
779	3.297573772
780	3.295323684
781	3.292005011
782	3.291043887
783	3.289252156
784	3.285724411
785	3.285531636
786	3.284885314
787	3.282954549
788	3.282679605
789	3.279836321
790	3.279348356
791	3.278815395
792	3.277079101
793	3.274208341
794	3.272671095
795	3.270419365
796	3.269854863
797	3.268008765
798	3.267061236
799	3.266798922
800	3.263350542
801	3.263251594
802	3.26184609
803	3.260713245
804	3.259865987
805	3.259719456
806	3.257197486
807	3.256473816
808	3.25623562
809	3.253830814
810	3.253257167
811	3.252452351
