iter	Passed	Remaining
0	50	50052
1	51	25871
2	53	17717
3	54	13603
4	56	11179
5	57	9526
6	58	8322
7	59	7413
8	60	6707
9	62	6155
10	63	5719
11	65	5354
12	66	5019
13	67	4777
14	68	4526
15	70	4313
16	71	4129
17	72	3962
18	73	3814
19	75	3716
20	78	3660
21	79	3553
22	81	3448
23	82	3351
24	83	3255
25	84	3167
26	90	3249
27	91	3168
28	92	3093
29	93	3017
30	94	2947
31	95	2882
32	96	2820
33	97	2760
34	97	2701
35	98	2647
36	99	2593
37	100	2545
38	101	2498
39	102	2452
40	102	2405
41	103	2361
42	104	2317
43	104	2281
44	105	2241
45	106	2204
46	106	2168
47	107	2133
48	108	2099
49	108	2066
50	109	2034
51	109	2003
52	110	1974
53	111	1945
54	111	1916
55	112	1889
56	112	1862
57	113	1836
58	113	1810
59	113	1785
60	114	1761
61	114	1737
62	115	1713
63	115	1691
64	116	1670
65	116	1649
66	116	1628
67	117	1608
68	117	1589
69	118	1569
70	118	1550
71	118	1531
72	119	1512
73	119	1494
74	119	1477
75	120	1460
76	120	1442
77	120	1425
78	120	1408
79	121	1392
80	121	1376
81	121	1361
82	121	1344
83	121	1329
84	122	1315
85	122	1304
86	123	1294
87	123	1283
88	124	1273
89	124	1261
90	125	1248
91	125	1241
92	126	1230
93	126	1220
94	126	1208
95	127	1197
96	127	1185
97	127	1175
98	128	1165
99	128	1155
100	128	1144
101	128	1135
102	129	1126
103	129	1117
104	130	1108
105	130	1099
106	130	1090
107	130	1081
108	131	1072
109	131	1064
110	131	1055
111	132	1047
112	132	1038
113	132	1030
114	132	1022
115	133	1014
116	133	1005
117	133	997
118	133	989
119	133	981
120	134	974
121	134	967
122	134	959
123	134	952
124	135	945
125	135	938
126	135	931
127	135	925
128	136	918
129	136	912
130	136	905
131	136	899
132	137	893
133	137	887
134	137	881
135	137	875
136	138	869
137	138	863
138	138	858
139	138	852
140	139	846
141	139	841
142	139	835
143	139	829
144	139	824
145	140	819
146	140	813
147	140	808
148	140	803
149	141	799
150	141	795
151	141	790
152	142	786
153	142	781
154	142	776
155	142	772
156	143	768
157	143	764
158	143	760
159	144	756
160	144	752
161	144	748
162	144	743
163	145	739
164	145	735
165	145	731
166	145	727
167	146	723
168	146	720
169	146	716
170	146	712
171	147	708
172	147	705
173	147	701
174	148	698
175	148	694
176	148	691
177	148	687
178	149	684
179	149	680
180	149	677
181	149	674
182	150	670
183	150	667
184	150	663
185	150	660
186	151	657
187	151	654
188	151	650
189	151	647
190	152	645
191	152	642
192	152	639
193	153	636
194	153	633
195	153	630
196	153	627
197	154	624
198	154	621
199	154	618
200	154	615
201	155	612
202	155	609
203	155	606
204	155	604
205	155	601
206	156	598
207	156	595
208	156	592
209	156	590
210	157	587
211	157	585
212	157	582
213	157	579
214	158	577
215	158	574
216	158	572
217	158	569
218	159	567
219	159	565
220	159	562
221	159	560
222	160	558
223	160	555
224	160	553
225	160	550
226	161	548
227	161	546
228	161	544
229	161	542
230	162	539
231	162	537
232	162	535
233	163	533
234	163	531
235	163	529
236	163	527
237	164	525
238	164	524
239	164	522
240	165	520
241	165	518
242	165	516
243	166	514
244	166	512
245	166	510
246	166	509
247	167	507
248	167	505
249	167	503
250	168	501
251	168	499
252	168	497
253	168	495
254	168	493
255	169	491
256	169	490
257	169	488
258	170	486
259	170	484
260	170	482
261	170	480
262	170	479
263	171	477
264	171	475
265	171	473
266	172	472
267	172	470
268	172	469
269	172	467
270	173	465
271	173	464
272	173	462
273	174	461
274	174	459
275	174	458
276	174	456
277	175	455
278	175	453
279	175	452
280	176	450
281	176	448
282	176	447
283	176	445
284	177	444
285	177	442
286	177	441
287	177	439
288	178	438
289	178	436
290	178	435
291	178	433
292	179	432
293	179	431
294	179	430
295	180	428
296	180	427
297	180	425
298	180	424
299	181	422
300	181	421
301	181	420
302	181	418
303	182	417
304	182	415
305	182	414
306	182	413
307	183	411
308	183	410
309	183	408
310	183	407
311	184	406
312	184	404
313	184	403
314	184	402
315	185	400
316	185	399
317	185	398
318	185	396
319	186	395
320	186	394
321	186	393
322	186	391
323	187	390
324	187	389
325	187	388
326	187	386
327	188	385
328	188	384
329	188	382
330	188	381
331	189	382
332	190	380
333	190	379
334	190	378
335	190	377
336	191	376
337	191	374
338	191	373
339	191	372
340	192	371
341	192	370
342	192	369
343	192	367
344	193	366
345	193	365
346	193	364
347	194	363
348	194	362
349	194	361
350	194	360
351	195	359
352	195	358
353	195	357
354	195	356
355	196	354
356	196	353
357	196	352
358	197	351
359	197	350
360	197	349
361	197	348
362	198	347
363	198	346
364	198	345
365	199	344
366	199	343
367	199	342
368	199	341
369	199	340
370	200	339
371	200	338
372	200	337
373	200	336
374	201	335
375	201	334
376	201	333
377	201	332
378	201	330
379	202	329
380	202	328
381	202	327
382	202	326
383	203	325
384	203	325
385	203	324
386	204	323
387	204	322
388	204	321
389	205	320
390	205	319
391	205	318
392	205	317
393	206	317
394	206	316
395	206	315
396	206	314
397	207	313
398	207	312
399	207	311
400	207	310
401	208	309
402	208	309
403	208	308
404	209	307
405	209	306
406	210	305
407	210	305
408	210	304
409	211	303
410	211	302
411	211	301
412	211	301
413	212	300
414	212	299
415	212	298
416	212	297
417	213	296
418	213	295
419	213	295
420	213	294
421	214	293
422	214	292
423	214	291
424	214	290
425	215	289
426	215	289
427	215	288
428	216	287
429	216	286
