iter	Passed	Remaining
0	0	43
1	1	55
2	2	65
3	2	65
4	3	69
5	4	73
6	5	74
7	6	76
8	7	78
9	8	77
10	9	74
11	9	69
12	10	67
13	10	67
14	11	66
15	12	65
16	12	63
17	13	63
18	14	62
19	15	62
20	16	62
21	17	61
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	27
58	39	27
59	39	26
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	18
70	44	18
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	46	13
77	47	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	49	8
85	50	8
86	50	7
87	50	6
88	51	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	53	2
96	54	1
97	54	1
98	54	0
99	55	0
